"timestamp","brentoilprice","fuelprice","date_column"
"1570654800000","56.5","6.49","2019-10-10"
"1570741200000","56.97","6.49","2019-10-11"
"1571000400000","56.99","6.49","2019-10-14"
"1571086800000","56.46","6.49","2019-10-15"
"1571173200000","56.69","6.49","2019-10-16"
"1571259600000","56.62","6.49","2019-10-17"
"1571346000000","56.46","6.49","2019-10-18"
"1571605200000","56.66","6.49","2019-10-21"
"1571691600000","56.65","6.49","2019-10-22"
"1571778000000","57.11","6.59","2019-10-23"
"1571864400000","57.28","6.59","2019-10-24"
"1571950800000","57.46","6.59","2019-10-25"
"1572210000000","57.19","6.59","2019-10-28"
"1572296400000","57.3","6.59","2019-10-29"
"1572382800000","56.49","6.59","2019-10-30"
"1572469200000","56.42","6.59","2019-10-31"
"1572555600000","57.73","6.59","2019-11-01"
"1572814800000","57.52","6.59","2019-11-04"
"1572901200000","57.82","6.59","2019-11-05"
"1572987600000","56.99","6.59","2019-11-06"
"1573074000000","56.99","6.59","2019-11-07"
"1573160400000","57.21","6.59","2019-11-08"
"1573419600000","57.06","6.59","2019-11-11"
"1573506000000","57.21","6.59","2019-11-12"
"1573592400000","57.38","6.59","2019-11-13"
"1573678800000","57","6.59","2019-11-14"
"1573765200000","57.41","6.59","2019-11-15"
"1574024400000","56.97","6.59","2019-11-18"
"1574110800000","56.5","6.59","2019-11-19"
"1574197200000","57.18","6.59","2019-11-20"
"1574283600000","57.64","6.59","2019-11-21"
"1574370000000","57.16","6.59","2019-11-22"
"1574629200000","57.2","6.59","2019-11-25"
"1574715600000","57.4","6.59","2019-11-26"
"1574802000000","56.93","6.53","2019-11-27"
"1574888400000","57.3","6.53","2019-11-28"
"1574974800000","55.63","6.53","2019-11-29"
"1575234000000","56.4","6.53","2019-12-02"
"1575320400000","56.45","6.53","2019-12-03"
"1575406800000","57.11","6.53","2019-12-04"
"1575493200000","56.79","6.53","2019-12-05"
"1575579600000","56.55","6.53","2019-12-06"
"1575838800000","56.63","6.53","2019-12-09"
"1575925200000","56.74","6.53","2019-12-10"
"1576011600000","56.49","6.53","2019-12-11"
"1576098000000","56.69","6.53","2019-12-12"
"1576184400000","56.67","6.53","2019-12-13"
"1576443600000","57.03","6.53","2019-12-16"
"1576530000000","56.73","6.53","2019-12-17"
"1576616400000","56.61","6.53","2019-12-18"
"1576702800000","56.5","6.53","2019-12-19"
"1576789200000","56.49","6.53","2019-12-20"
"1577048400000","56.51","6.53","2019-12-23"
"1577134800000","56.74","6.53","2019-12-24"
"1577307600000","56.74","6.59","2019-12-26"
"1577394000000","57.01","6.59","2019-12-27"
"1577653200000","57.05","6.59","2019-12-30"
"1577739600000","56.66","6.59","2019-12-31"
"1577912400000","57.07","6.59","2020-01-02"
"1577998800000","56.71","6.59","2020-01-03"
"1578258000000","56.7","6.59","2020-01-06"
"1578344400000","57.1","6.59","2020-01-07"
"1578430800000","56.33","6.59","2020-01-08"
"1578517200000","56.56","6.59","2020-01-09"
"1578603600000","56.48","6.59","2020-01-10"
"1578862800000","56.46","6.59","2020-01-13"
"1578949200000","56.42","6.59","2020-01-14"
"1579035600000","56.29","6.59","2020-01-15"
"1579122000000","56.46","6.59","2020-01-16"
"1579208400000","56.5","6.64","2020-01-17"
"1579467600000","56.52","6.64","2020-01-20"
"1579554000000","56.82","6.64","2020-01-21"
"1579640400000","56.26","6.64","2020-01-22"
"1579726800000","55.26","6.64","2020-01-23"
"1579813200000","54.59","6.64","2020-01-24"
"1580072400000","54.75","6.64","2020-01-27"
"1580158800000","54.89","6.64","2020-01-28"
"1580245200000","54.79","6.43","2020-01-29"
"1580331600000","54.99","6.43","2020-01-30"
"1580418000000","55.03","6.43","2020-01-31"
"1580677200000","55.26","6.43","2020-02-03"
"1580763600000","55.07","6.43","2020-02-04"
"1580850000000","55.42","6.43","2020-02-05"
"1580936400000","56","6.43","2020-02-06"
"1581022800000","56.19","6.43","2020-02-07"
"1581282000000","56.21","6.43","2020-02-10"
"1581368400000","55.9","6.43","2020-02-11"
"1581454800000","55.85","6.43","2020-02-12"
"1581541200000","55.47","6.43","2020-02-13"
"1581627600000","55.56","6.43","2020-02-14"
"1581886800000","55.94","6.43","2020-02-17"
"1581973200000","56.15","6.43","2020-02-18"
"1582059600000","56.35","6.43","2020-02-19"
"1582146000000","56.5","6.43","2020-02-20"
"1582232400000","56.42","6.43","2020-02-21"
"1582491600000","56.43","6.43","2020-02-24"
"1582578000000","55.16","6.43","2020-02-25"
"1582664400000","54.73","6.43","2020-02-26"
"1582750800000","54.61","6.43","2020-02-27"
"1582837200000","53.24","6.43","2020-02-28"
"1583096400000","54.08","6.3","2020-03-02"
"1583182800000","54.36","6.3","2020-03-03"
