BrentOilPrice,FuelPrice,USD/TRY
50.97,6.03,6.95
50.97,6.03,6.95
50.97,6.03,6.95
50.98,6.03,6.9
51.13,6.03,7.05
51.1,6.03,7.25
50.45,6.03,7.28
50.72,6.19,7.28
50.72,6.19,7.28
50.72,6.19,7.28
50.51,6.19,7.22
51.05,6.19,7.33
50.85,6.19,7.34
50.72,6.19,7.37
51.38,6.19,7.38
51.38,6.19,7.38
51.38,6.19,7.38
51.2,6.19,7.37
51.38,6.19,7.29
51.21,6.19,7.3
50.83,6.19,7.32
51.42,6.19,7.38
51.42,6.19,7.38
51.42,6.19,7.38
51.71,6.19,7.39
51.67,6.19,7.37
51.16,6.19,7.36
51.78,6.19,7.33
51.04,6.19,7.34
51.04,6.19,7.34
51.04,6.19,7.34
51.41,6.19,7.37
50.82,6.19,7.39
51.07,6.19,7.43
50.54,6.19,7.44
50.1,6.19,7.45
50.1,6.19,7.45
50.1,6.19,7.45
48.73,5.98,7.48
49.33,5.98,7.49
49.05,5.8,7.45
48.87,5.8,7.48
49.18,5.8,7.49
49.18,5.8,7.49
49.18,5.8,7.49
49.76,5.8,7.49
50.05,5.8,7.5
50.29,5.8,7.55
50.1,5.8,7.56
48.97,6.1,7.63
48.97,6.1,7.63
48.97,6.1,7.63
49.05,6.1,7.66
48.99,6.1,7.7
49.24,5.98,7.62
48.93,5.98,7.66
48.92,5.98,7.81
48.92,5.98,7.81
48.92,5.98,7.81
47.9,5.98,7.81
48.55,5.98,7.72
47.95,5.98,7.74
46.83,5.98,7.77
48.18,5.98,7.76
48.18,5.98,7.76
48.18,5.98,7.76
48.78,5.98,7.8
48.14,5.98,7.89
48.59,6.22,7.94
48.04,6.22,7.87
47.44,6.22,7.9
47.44,6.22,7.9
47.44,6.22,7.9
47.72,6.22,7.92
48.11,6.22,7.91
48.24,6.22,7.94
48.09,6.22,7.92
48.03,6.22,7.88
48.03,6.22,7.88
48.03,6.22,7.88
48.4,6.22,7.87
47.32,6.22,7.81
47.69,6.22,7.94
47.1,6.22,7.96
46.34,6.22,8.09
46.34,6.22,8.09
46.34,6.22,8.09
46.89,6.22,8.19
45.64,6.22,8.27
44.73,6.22,8.29
45.08,6.22,8.34
46.17,6.22,8.43
46.17,6.22,8.43
46.17,6.22,8.43
46.21,6.09,8.4
47.13,6.09,8.43
46.8,6.25,8.42
45.94,6.39,8.52
47.5,6.39,8.07
47.5,6.39,8.07
47.5,6.39,8.07
47.64,6.39,8.16
48.07,6.39,7.8
47.85,6.39,7.69
47.19,6.39,7.66
47.56,6.39,7.71
47.56,6.39,7.71
47.56,6.39,7.71
47.39,6.39,7.7
47.58,6.39,7.71
47.27,6.39,7.55
47.48,6.37,7.64
47.79,6.37,7.88
47.79,6.37,7.88
47.79,6.37,7.88
48.28,6.37,8
49.22,6.37,7.93
48.82,6.37,7.88
49.05,6.65,7.84
48.8,6.65,7.82
48.8,6.65,7.82
48.8,6.65,7.82
47.83,6.65,7.83
47.7,6.65,7.86
47.13,6.65,7.77
47.81,6.65,7.8
47.85,6.65,7.81
47.85,6.65,7.81
47.85,6.65,7.81
47.96,6.65,7.82
47.81,6.65,7.83
48.24,6.65,7.88
48.08,6.65,7.85
48.6,6.65,7.85
48.6,6.65,7.85
48.6,6.65,7.85
49.05,6.65,7.83
49.26,6.65,7.8
49.84,6.65,7.7
50.14,6.65,7.62
49.47,6.65,7.65
49.47,6.65,7.65
49.47,6.65,7.65
48.96,6.65,7.66
49.61,6.65,7.64
49.85,6.65,7.59
49.36,6.65,7.55
49.36,6.65,7.44
49.36,6.65,7.44
49.36,6.65,7.44
49.65,6.65,7.39
49.62,6.65,7.38
49.49,6.65,7.44
49.11,6.68,7.44
49.11,6.68,7.43
49.11,6.68,7.43
49.11,6.68,7.43
49.7,6.68,7.39
49.3,6.68,7.31
49.7,6.68,7.32
50.32,6.68,7.35
50.55,6.68,7.48
50.55,6.68,7.48
50.55,6.68,7.48
50.96,6.68,7.45
51.46,6.68,7.4
51.6,6.68,7.37
51.26,6.68,7.47
50.98,6.68,7.48
50.98,6.68,7.48
50.98,6.68,7.48
51.33,6.68,7.47
51.08,6.68,7.42
51.01,6.68,7.37
50.59,6.68,7.42
50.91,6.68,7.41
50.91,6.68,7.41
50.91,6.68,7.41
50.65,6.68,7.35
50.89,6.68,7.4
50.5,6.68,7.35
50.43,6.68,7.31
51.12,6.68,7.19
51.12,6.68,7.19
51.12,6.68,7.19
51.49,6.68,7.19
51.67,6.68,7.16
51.86,6.68,7.14
52.12,6.68,7.06
53,6.68,7.07
53,6.68,7.07
53,6.68,7.07
53.29,6.75,7.07
53.55,6.75,7.06
53.39,6.75,7.02
53.77,6.75,7.03
54.21,6.75,6.96
