BrentOilPrice,FuelPrice,USD/TRY
47.96,6.22,7.8836
48.33,6.22,7.8658
47.24,6.22,7.8123
47.62,6.22,7.935
47.02,6.22,7.9615
46.25,6.22,8.086
46.81,6.22,8.1866
45.55,6.22,8.2662
44.64,6.22,8.291
44.98,6.22,8.3449
46.08,6.22,8.4264
46.13,6.09,8.3965
47.06,6.09,8.4321
46.73,6.25,8.4228
45.87,6.39,8.5153
47.44,6.39,8.0684
47.58,6.39,8.1588
48,6.39,7.8021
47.78,6.39,7.6931
47.11,6.39,7.6553
47.49,6.39,7.7059
47.33,6.39,7.7025
47.51,6.39,7.7063
47.21,6.39,7.5531
47.43,6.37,7.6381
47.74,6.37,7.8836
48.26,6.37,7.9989
49.18,6.37,7.9287
48.78,6.37,7.8753
49.01,6.65,7.8363
48.77,6.65,7.8235
47.81,6.65,7.8343
47.71,6.65,7.8619
47.16,6.65,7.7717
47.83,6.65,7.8011
47.87,6.65,7.806
47.97,6.65,7.8155
47.82,6.65,7.8251
48.26,6.65,7.8841
48.11,6.65,7.8452
48.63,6.65,7.854
49.07,6.65,7.8346
49.29,6.65,7.8
49.87,6.65,7.7021
50.18,6.65,7.6232
49.5,6.65,7.6526
48.98,6.65,7.6565
49.63,6.65,7.6428
49.88,6.65,7.5859
49.39,6.65,7.4383
49.68,6.65,7.3869
49.66,6.65,7.3841
49.53,6.65,7.4404
49.14,6.68,7.4261
49.77,6.68,7.3908
49.37,6.68,7.3091
49.76,6.68,7.3201
50.39,6.68,7.3521
50.61,6.68,7.4779
51.03,6.68,7.4517
51.52,6.68,7.403
51.67,6.68,7.365
51.32,6.68,7.4726
51.03,6.68,7.479
51.39,6.68,7.4718
51.14,6.68,7.4248
51.07,6.68,7.371
50.65,6.68,7.417
50.97,6.68,7.4064
50.71,6.68,7.3478
50.95,6.68,7.3987
50.56,6.68,7.3463
50.49,6.68,7.3075
51.2,6.68,7.1929
51.58,6.68,7.1866
51.77,6.68,7.1573
51.96,6.68,7.138
52.22,6.68,7.058
53.12,6.68,7.0731
53.41,6.75,7.0667
53.67,6.75,7.0589
53.51,6.75,7.0224
53.9,6.75,7.0349
54.34,6.75,6.9642
54.4,6.75,6.985
54.63,6.75,6.9794
54.63,6.75,6.9803
54.65,6.75,6.9652
55.78,6.75,7.0189
55.99,6.75,7.1083
57.06,6.75,7.1655
56.95,6.75,7.3515
55.72,6.75,7.4273
55.41,6.75,7.2895
55.56,6.75,7.3584
56.33,6.75,7.4612
57.14,6.75,7.5172
58.42,6.75,7.5325
58.02,6.75,7.7633
57.78,6.75,7.6195
57.63,6.75,7.5029
58.31,6.75,7.4832
58.22,6.75,7.5602
58.1,6.75,7.5375
58.08,6.75,7.4933
58.42,6.75,7.5029
56.73,6.52,7.3226
56.93,6.52,7.2185
57.13,6.52,7.8016
55.83,6.52,7.9336
57.12,6.52,7.9377
55.5,6.52,7.9446
56.82,6.52,8.1076
56.78,6.52,8.2104
56.33,6.52,8.336
55.67,6.52,8.2519
57.91,6.52,8.1233
57.12,6.52,8.1145
57.74,6.52,8.1444
57.8,6.52,8.1605
57.01,6.52,8.1415
57.12,6.52,8.1747
57.58,6.52,8.157
57.95,6.52,8.1198
59.23,6.52,8.0829
58.92,6.52,8.0178
58.7,6.52,8.0656
58.71,6.52,8.0971
58.14,6.52,8.1153
57.64,6.52,8.1892
58.13,6.52,8.3215
58.66,6.52,8.3907
58.77,6.52,8.2846
